workload,format,compression,frames,payload_bytes,fragments,deltas,payload_kbps,framed_kbps,encode_mean_us,decode_mean_us
fire,json-selected,zstd-3,320,657647,872,310,513.787,528.093,494.726,172.565
fire,binary-full,zstd-3,320,1279774,1464,0,999.823,1023.842,199.355,187.692
fire,binary-delta,zstd-3,320,722828,873,310,564.709,579.032,267.641,133.756
fire,bit-full,zstd-3,320,1317732,1480,0,1029.478,1053.759,192.171,181.746
fire,bit-delta,zstd-3,320,703137,867,310,549.326,563.550,249.910,125.559
fire,fixed-full,zstd-3,320,906178,1058,0,707.952,725.309,173.722,170.481
fire,fixed-delta,zstd-3,320,324017,551,310,253.138,262.178,224.328,117.839
fire,fixed-fine-delta,zstd-3,320,370348,572,310,289.334,298.719,231.792,121.490
fire,fixed-chassis-delta,zstd-3,320,605910,823,310,473.367,486.870,228.115,114.842
fire,json-full,zstd-dict-3,320,635058,852,0,496.139,510.117,98.179,168.219
fire,json-selected,zstd-dict-3,320,563641,723,310,440.345,452.206,505.113,176.053
fire,binary-full,zstd-dict-3,320,1133175,1209,0,885.293,905.128,200.111,181.543
fire,binary-delta,zstd-dict-3,320,748259,871,310,584.577,598.867,267.898,127.842
fire,bit-full,zstd-dict-3,320,1154425,1313,0,901.895,923.436,203.187,186.980
fire,bit-delta,zstd-dict-3,320,709967,867,310,554.662,568.886,260.241,125.782
fire,fixed-full,zstd-dict-3,320,746179,908,0,582.952,597.849,173.494,167.703
fire,fixed-delta,zstd-dict-3,320,327377,548,310,255.763,264.754,215.710,109.633
fire,fixed-fine-delta,zstd-dict-3,320,373828,566,310,292.053,301.339,247.998,126.757
fire,fixed-chassis-delta,zstd-dict-3,320,612288,821,310,478.350,491.820,255.927,123.311
fire,binary-full,zstd-retrained-3,320,706907,852,0,552.271,566.249,199.422,184.217
fire,binary-delta,zstd-retrained-3,320,687461,846,200,537.079,550.959,252.887,143.010
fire,bit-full,zstd-retrained-3,320,729409,860,0,569.851,583.960,186.966,175.612
fire,bit-delta,zstd-retrained-3,320,679619,843,291,530.952,544.783,247.449,126.129
fire,fixed-full,zstd-retrained-3,320,352590,558,0,275.461,284.616,163.724,167.195
fire,fixed-delta,zstd-retrained-3,320,296582,526,310,231.705,240.334,212.370,116.488
fire,fixed-fine-delta,zstd-retrained-3,320,344485,548,310,269.129,278.120,229.336,121.077
